"","experiment","fault_model","dist","postprocess","dest","faults","router","num_samples","resource","resource_stdev","resource_min","resource_max","entries","entries_stdev","entries_min","entries_max","useX","useX_stdev","useX_min","useX_max","useY","useY_stdev","useY_min","useY_max","useD","useD_stdev","useD_min","useD_max","disconne","disconne_stdev","disconne_min","disconne_max","exectime","exectime_stdev","exectime_min","exectime_max","post_exectime","post_exectime_stdev","post_exectime_min","post_exectime_max","exectime_ci","post_exectime_ci","disconne_ci","resource_ci","entries_ci"
"82","baseline","spinn_link","uniform","DIJKSTRA",16,78,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","baseline","spinn_link","uniform","DIJKSTRA",16,78,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","baseline","spinn_link","uniform","DIJKSTRA",16,78,"smart",10000,640.5878,884.651557763281,0,955,33.8702,21.6416239783432,0,48,215.8784,545.669554504372,0,440,216.0247,546.842476951087,0,455,214.8843,535.643555537636,0,481,0,0,0,0,115.5821,133.265680908477,0,186,5.9581,113.256392761159,0,52,2.19202538590466,1.86290188408633,0,14.551223233752,0.355973036938978
"85","baseline","spinn_link","uniform","DIJKSTRA",16,78,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","baseline","spinn_link","uniform","DIJKSTRA",16,157,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","baseline","spinn_link","uniform","DIJKSTRA",16,157,"lf",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","baseline","spinn_link","uniform","DIJKSTRA",16,157,"opt",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","baseline","spinn_link","uniform","DIJKSTRA",16,157,"smart",10000,639.509,882.35878506195,0,922,34.6994,27.4496671380547,0,54,217.0433,543.558612117405,0,434,216.862,546.23890891349,0,429,215.2894,544.390900244484,0,420,0,0,0,0,115.4967,133.712708599445,0,184,10.9847,134.90460341293,0,53,2.19937833709302,2.21898326216208,0,14.5135104788164,0.451506845506399
"90","baseline","spinn_link","uniform","DIJKSTRA",16,157,"graph_search",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","baseline","spinn_link","uniform","DIJKSTRA",16,314,"dor",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
